Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
122.793,-3.2544546127,1.3823224306,14.2264833450,0.0597682707,0.0401523598,0.0048342347,-102.5445098877,71.8851699829,53.7227745056,0.0368610620,0.0660333037,0.0081443191,15.3843116760,83.5289154053,104.8348083496,0.0287851095,0.0237959623,0.0193886161,48.4932479858,36.2657585144,93.9346542358,0.0705353618,-0.0062553287,-0.0095184445,
122.803,-3.2568514347,1.3822362423,14.2281818390,0.0626964569,0.0382409878,0.0077664256,-102.1115646362,71.7529907227,54.1535072327,0.0322350264,0.0593951643,0.0150901079,15.3434829712,83.5310974121,104.7984161377,0.0243948698,0.0214420259,0.0242807269,48.4948539734,36.2590522766,93.9425735474,0.0645815730,-0.0141347051,-0.0056412220,
122.813,-3.2573096752,1.3829244375,14.2292537689,0.0622201823,0.0406903550,0.0136265755,-101.6769256592,71.6267852783,54.5838737488,0.0339844227,0.0716921985,0.0219708085,15.3037738800,83.5357666016,104.7627258301,0.0219626427,0.0234937072,0.0126221180,48.4980430603,36.2515754700,93.9507751465,0.0708240867,-0.0098276734,-0.0095649362,
122.823,-3.2586491108,1.3826119900,14.2297286987,0.0631912947,0.0377840102,0.0063036680,-101.2415084839,71.5014495850,55.0117607117,0.0303629637,0.0658974648,0.0117195249,15.2701520920,83.5389785767,104.7340011597,0.0273400545,0.0274780989,0.0238828063,48.4986114502,36.2506179810,93.9579238892,0.0620214939,-0.0210708976,-0.0120069981,
122.833,-3.2579541206,1.3836002350,14.2296237946,0.0607671291,0.0470492207,0.0092329979,-100.7933578491,71.3816375732,55.4544105530,0.0301856995,0.0795441866,0.0169714689,15.2300424576,83.5397720337,104.6954727173,0.0244119167,0.0236538947,0.0229036212,48.4987754822,36.2482376099,93.9640579224,0.0590583086,-0.0181611180,-0.0037207007,
122.843,-3.2567341328,1.3808339834,14.2320451736,0.0656016767,0.0401920974,0.0033712983,-100.3450317383,71.2687683105,55.9029350281,0.0295549035,0.0852514505,0.0153316855,15.1930513382,83.5440826416,104.6621627808,0.0283266306,0.0247198939,0.0185555816,48.4954757690,36.2484054565,93.9675521851,0.0541778803,-0.0181289911,-0.0101019740,
122.853,-3.2557101250,1.3801610470,14.2332630157,0.0582657158,0.0416391194,0.0097172260,-99.8938217163,71.1480102539,56.3641815186,0.0357119441,0.0734954178,0.0146425366,15.1315507889,83.5464782715,104.6047363281,0.0249133706,0.0214318037,0.0219843984,48.4966850281,36.2434806824,93.9753799438,0.0692452192,-0.0132955909,-0.0130526423,
122.863,-3.2536525726,1.3773204088,14.2339382172,0.0635872409,0.0474627204,0.0092263818,-99.4387893677,71.0235290527,56.8359375000,0.0350076556,0.0700890422,0.0226966143,15.0637607574,83.5500411987,104.5419540405,0.0293148756,0.0162069798,0.0229839087,48.4990310669,36.2381134033,93.9856414795,0.0750290751,-0.0172651410,-0.0115997195,
122.873,-3.2529036999,1.3782721758,14.2357187271,0.0567679144,0.0450082496,0.0028778315,-98.9880294800,70.8872222900,57.3108787537,0.0415556431,0.0683188736,0.0127030015,15.0230960846,83.5548400879,104.5078964233,0.0195586681,0.0265602469,0.0215765834,48.5022468567,36.2346687317,93.9931793213,0.0642383695,-0.0187866688,-0.0164722204,
122.883,-3.2529575825,1.3782943487,14.2357330322,0.0553034544,0.0445209071,0.0004368424,-98.5398635864,70.7435607910,57.7921943665,0.0392668247,0.0656743050,0.0090513229,14.9947452545,83.5619049072,104.4860763550,0.0205490589,0.0290875435,0.0167959929,48.5038223267,36.2330513000,94.0029830933,0.0568913817,-0.0149075985,-0.0067009926,
