epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7863,1.00682,2.71604,1.00733,0.84103,0.13647,0.1433,0.11023,0.90323,1.38795,0.9508,0.000297684,0.000297684,0.000297684
2,47.1502,0.90624,1.00178,0.92636,0.99273,0.1355,0.14607,0.11593,0.85119,0.86616,0.92292,0.000541216,0.000541216,0.000541216
3,58.408,0.83936,0.79189,0.91232,0.88614,0.14191,0.20965,0.16351,0.83011,0.70209,0.90737,0.000724755,0.000724755,0.000724755
4,69.5711,0.81367,0.67227,0.90026,0.81697,0.37414,0.29394,0.23125,0.78225,0.61941,0.90276,0.000639027,0.000639027,0.000639027
5,80.636,0.79109,0.59155,0.89254,0.52987,0.44837,0.29627,0.23634,0.74628,0.56045,0.88761,0.000549036,0.000549036,0.000549036
6,91.743,0.77431,0.5502,0.89113,0.40094,0.58752,0.30802,0.24591,0.74621,0.51574,0.88742,0.000459045,0.000459045,0.000459045
7,102.787,0.76279,0.52816,0.88782,0.40618,0.53622,0.3082,0.24695,0.72118,0.4838,0.88485,0.000369054,0.000369054,0.000369054
8,113.847,0.7508,0.5127,0.88596,0.40269,0.48389,0.3177,0.25615,0.72022,0.46986,0.88041,0.000279063,0.000279063,0.000279063
9,124.208,0.74256,0.491,0.88683,0.41718,0.59664,0.33411,0.27035,0.72193,0.46003,0.88328,0.000189072,0.000189072,0.000189072
10,133.439,0.7384,0.48891,0.88235,0.41962,0.49066,0.33331,0.27116,0.72398,0.428,0.8835,9.9081e-05,9.9081e-05,9.9081e-05
