Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
9.023,-3.2474708557,1.2423297167,0.5895618796,0.0617201105,0.0449166782,0.0101428032,-119.5958938599,74.6606063843,6.4428186417,0.0288289189,0.0561202765,0.0120227933,21.6444282532,82.8313064575,1.7683330774,0.0292924047,0.0217008889,0.0289068371,42.2321434021,41.5492935181,4.0611014366,0.0680493116,-0.0119032264,-0.0054022074,
9.033,-3.2476873398,1.2427926064,0.5894424915,0.0602633432,0.0439438745,0.0033068657,-119.5916748047,74.6599502563,6.4552888870,0.0332204103,0.0551627874,0.0154292583,21.6470985413,82.8334350586,1.7792301178,0.0288087726,0.0192672014,0.0196649730,42.2360649109,41.5511703491,4.0691323280,0.0656324625,-0.0158327818,-0.0121877789,
9.043,-3.2464737892,1.2442108393,0.5900318027,0.0529638715,0.0488055162,0.0091656446,-119.5932846069,74.6592025757,6.4579215050,0.0254044533,0.0600523055,0.0086060166,21.6445674896,82.8329162598,1.7855405807,0.0253896713,0.0187809616,0.0206314027,42.2352371216,41.5537986755,4.0761675835,0.0637136698,-0.0133630037,-0.0107076764,
9.053,-3.2460808754,1.2455117702,0.5911436081,0.0578693822,0.0458689593,0.0116072893,-119.5980911255,74.6582717896,6.4582462311,0.0249118805,0.0561485887,0.0105861425,21.6433467865,82.8317413330,1.7924913168,0.0292933583,0.0217057765,0.0220768452,42.2420730591,41.5534324646,4.0877175331,0.0715213418,-0.0095257163,-0.0209046602,
9.063,-3.2454893589,1.2445743084,0.5929593444,0.0593178682,0.0443938300,0.0091651082,-119.5890502930,74.6605606079,6.4713096619,0.0254107118,0.0619960129,0.0198080540,21.6616744995,82.8291702271,1.8203661442,0.0278229117,0.0236050487,0.0254687890,42.2417335510,41.5539016724,4.0943017006,0.0651798248,-0.0114718676,-0.0057669282,
9.073,-3.2451779842,1.2450789213,0.5941256285,0.0563969910,0.0434118286,0.0125830770,-119.5781478882,74.6595611572,6.4870061874,0.0268709660,0.0537338853,0.0124482512,21.6570262909,82.8299026489,1.8245006800,0.0209885836,0.0187365115,0.0176644027,42.2431526184,41.5581207275,4.1011786461,0.0657231808,-0.0178005695,-0.0149961114,
9.083,-3.2464451790,1.2466255426,0.5940057635,0.0544708520,0.0380627811,0.0072134137,-119.5718917847,74.6632156372,6.4975094795,0.0249347091,0.0629728138,0.0158107281,21.6664829254,82.8313903809,1.8419377804,0.0263628960,0.0270271748,0.0167188942,42.2403106689,41.5611457825,4.1060028076,0.0608799458,-0.0216556191,-0.0042526722,
9.093,-3.2468194962,1.2493733168,0.5956624150,0.0550070778,0.0409989357,0.0101447105,-119.5752105713,74.6652984619,6.5000896454,0.0308036804,0.0609814823,0.0119007230,21.6536006927,82.8317413330,1.8387800455,0.0292933583,0.0241260678,0.0147606134,42.2401542664,41.5622100830,4.1133580208,0.0638235211,-0.0133451223,-0.0057095885,
9.103,-3.2462382317,1.2493281364,0.5968007445,0.0603773817,0.0444067717,0.0096559525,-119.5738067627,74.6668853760,6.5060939789,0.0249516368,0.0526608229,0.0109052062,21.6605033875,82.8348388672,1.8562254906,0.0229524374,0.0231548548,0.0162803233,42.2395896912,41.5619392395,4.1202282906,0.0677261353,-0.0133417845,-0.0091350079,
9.113,-3.2459154129,1.2482117414,0.6004856825,0.0584047772,0.0453777350,0.0160024166,-119.5732727051,74.6672592163,6.5105891228,0.0249533653,0.0560743809,0.0118765235,21.6642398834,82.8339004517,1.8674813509,0.0292980671,0.0231412500,0.0206629485,42.2396812439,41.5642242432,4.1276750565,0.0648264289,-0.0118599534,-0.0052083135,
9.123,-3.2478573322,1.2484631538,0.6003777981,0.0588974431,0.0400404632,0.0042862892,-119.5630722046,74.6691055298,6.5245890617,0.0278915763,0.0565595925,0.0201209188,21.6751060486,82.8351898193,1.8865401745,0.0283243060,0.0236152560,0.0231332555,42.2427177429,41.5611648560,4.1352505684,0.0716223717,-0.0080069304,-0.0037430525,
9.133,-3.2487542629,1.2511709929,0.6019887328,0.0574798509,0.0390794724,0.0155181289,-119.5690383911,74.6696243286,6.5242986679,0.0278939605,0.0614204705,0.0045157075,21.6851673126,82.8366394043,1.9059386253,0.0278391838,0.0255573094,0.0202362090,42.2451629639,41.5617256165,4.1429753304,0.0672351718,-0.0104675889,-0.0139704347,
9.143,-3.2503836155,1.2533257008,0.6030706167,0.0545877591,0.0410609320,0.0028254390,-119.5694885254,74.6688613892,6.5285453796,0.0264256001,0.0550833941,0.0098949075,21.6910133362,82.8383941650,1.9199688435,0.0200304985,0.0216497332,0.0217321515,42.2462882996,41.5614891052,4.1507668495,0.0696734786,-0.0124334097,-0.0071267486,
9.153,-3.2504987717,1.2549195290,0.6047808528,0.0570569783,0.0439925939,0.0145455003,-119.5685577393,74.6678695679,6.5358681679,0.0278858542,0.0575413704,0.0142939091,21.6939201355,82.8390502930,1.9341632128,0.0234498978,0.0206712186,0.0202797800,42.2454795837,41.5629844666,4.1584925652,0.0609039664,-0.0114374161,-0.0056563616,
9.163,-3.2519562244,1.2557764053,0.6046148539,0.0614664629,0.0415765569,0.0150350332,-119.5680694580,74.6665878296,6.5413212776,0.0254385471,0.0570728779,0.0162556171,21.6612129211,82.8385620117,1.9101228714,0.0283316374,0.0168291032,0.0207341909,42.2432212830,41.5641937256,4.1630640030,0.0643377304,-0.0158007145,-0.0027360320,
