Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
113.743,-3.2952473164,1.4005912542,11.8423633575,0.0615518689,0.0452570431,0.0107420683,-110.8812408447,72.7411422729,43.5797462463,0.0311459899,0.0627164841,0.0064646602,17.1953144073,83.3261718750,86.8758926392,0.0288683772,0.0261336267,0.0224747956,42.9996261597,41.0760688782,73.0371398926,0.0691698790,-0.0107932687,-0.0026013851,
113.753,-3.2961635590,1.4007662535,11.8434629440,0.0615549237,0.0413667485,0.0048838258,-110.8947372437,72.7437591553,43.5728950500,0.0321360826,0.0626515150,0.0065147877,17.1845874786,83.3251495361,86.8763122559,0.0210537910,0.0237076879,0.0244026482,42.9989089966,41.0757026672,73.0436401367,0.0628173947,-0.0112775564,-0.0035871863,
113.763,-3.2970061302,1.4032891989,11.8438663483,0.0596458204,0.0438227654,0.0048856735,-110.9030380249,72.7461090088,43.5704765320,0.0267771482,0.0611348152,0.0099591017,17.1956253052,83.3243789673,86.8953475952,0.0220288038,0.0241708159,0.0204924643,42.9951896667,41.0729637146,73.0471343994,0.0686407089,-0.0161460042,0.0017274022,
113.773,-3.2967836857,1.4022645950,11.8462371826,0.0645107552,0.0428423546,0.0219745040,-110.9077148438,72.7495422363,43.5698165894,0.0302128792,0.0669316649,0.0133793354,17.1845664978,83.3237304688,86.8930435181,0.0273985863,0.0197943449,0.0204733014,42.9929580688,41.0731697083,73.0508193970,0.0686433911,-0.0166112185,-0.0036618710,
113.783,-3.2971999645,1.4021648169,11.8474369049,0.0562082306,0.0408964828,0.0083033442,-110.9176864624,72.7511291504,43.5652656555,0.0272914171,0.0595643222,0.0134183764,17.1892490387,83.3243789673,86.9063949585,0.0298413038,0.0222300589,0.0219526887,42.9924468994,41.0706520081,73.0549240112,0.0744696259,-0.0107665658,-0.0027111173,
113.793,-3.2971136570,1.4040356874,11.8485603333,0.0557525940,0.0448011830,0.0087925196,-110.9403457642,72.7556228638,43.5471038818,0.0253615379,0.0692183971,-0.0006585717,17.1851940155,83.3233261108,86.9115371704,0.0269094706,0.0251623988,0.0248626769,42.9921226501,41.0709838867,73.0613403320,0.0661732554,-0.0136905313,-0.0090588331,
113.803,-3.2969264984,1.4024810791,11.8509206772,0.0679325014,0.0472393669,0.0068384409,-110.9489212036,72.7575378418,43.5426445007,0.0273245573,0.0647784770,0.0096255541,17.1840171814,83.3219680786,86.9208450317,0.0239770412,0.0251579881,0.0277699232,42.9914054871,41.0719528198,73.0689315796,0.0622797608,-0.0092815161,-0.0046626329,
113.813,-3.2949905396,1.4030201435,11.8532638550,0.0606176853,0.0447642207,0.0073249936,-110.9438781738,72.7591781616,43.5519142151,0.0253799558,0.0647624135,0.0159389377,17.1807422638,83.3220596313,86.9257202148,0.0254420638,0.0197937489,0.0214214921,42.9911384583,41.0718383789,73.0748367310,0.0691141486,-0.0190454721,-0.0056425333,
113.823,-3.2935504913,1.4044125080,11.8537483215,0.0596654192,0.0452273935,0.0151366591,-110.9485397339,72.7583770752,43.5528831482,0.0258640647,0.0623242259,0.0071772933,17.1912155151,83.3224411011,86.9449844360,0.0273959637,0.0207515359,0.0185041428,42.9877243042,41.0708427429,73.0794219971,0.0744721889,-0.0116961002,-0.0066579580,
113.833,-3.2945809364,1.4038347006,11.8536806107,0.0616084635,0.0432922244,-0.0004876256,-110.9526977539,72.7577896118,43.5536384583,0.0346500874,0.0628146529,0.0101305246,17.1984729767,83.3221206665,86.9622116089,0.0259304643,0.0207357109,0.0189919174,42.9879493713,41.0698928833,73.0875549316,0.0656706095,-0.0068229437,-0.0017812252,
