epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7853,1.01097,2.73333,1.00938,0.84627,0.13627,0.14348,0.10979,0.92362,1.42942,0.96374,0.000297684,0.000297684,0.000297684
2,43.1873,0.90707,1.01306,0.93097,0.99329,0.13616,0.14558,0.11783,0.79397,0.77304,0.90526,0.000541216,0.000541216,0.000541216
3,52.6262,0.83221,0.78725,0.91358,0.90873,0.144,0.2205,0.1743,0.76409,0.66158,0.89533,0.000724755,0.000724755,0.000724755
4,61.9197,0.81892,0.66607,0.90126,0.81707,0.35533,0.29536,0.23216,0.81166,0.63838,0.90606,0.000639027,0.000639027,0.000639027
5,71.3049,0.79653,0.58812,0.90023,0.53447,0.40471,0.29551,0.23827,0.73379,0.51795,0.88195,0.000549036,0.000549036,0.000549036
6,80.5581,0.77083,0.54857,0.89591,0.40259,0.59022,0.30307,0.24232,0.73148,0.48603,0.88021,0.000459045,0.000459045,0.000459045
7,89.9265,0.76691,0.52776,0.88773,0.40739,0.46338,0.30911,0.24891,0.73665,0.47902,0.88568,0.000369054,0.000369054,0.000369054
8,99.2321,0.75275,0.51335,0.89091,0.42703,0.51741,0.33281,0.26978,0.70936,0.46386,0.87605,0.000279063,0.000279063,0.000279063
9,108.511,0.74517,0.49988,0.88867,0.45744,0.49291,0.33125,0.27307,0.70327,0.44629,0.87525,0.000189072,0.000189072,0.000189072
10,117.851,0.73806,0.48602,0.88519,0.46126,0.4981,0.34079,0.27947,0.69527,0.41927,0.87384,9.9081e-05,9.9081e-05,9.9081e-05
