Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
2763.023,-3.2061977386,1.2986505032,-73.0698165894,0.0573317558,0.0373604819,0.0052410364,-85.2080307007,-16.7300224304,145.9344635010,-0.0676475167,0.0346351862,0.0054296851,-49.4198913574,83.1403274536,-92.9022369385,0.0231150985,0.0276737809,0.0333994925,29.7091827393,53.6844902039,-89.4649353027,0.0762758255,0.0037559867,0.0040003657,
2763.033,-3.2068314552,1.2992572784,-73.0680618286,0.0558774993,0.0359066650,0.0042655468,-85.2058486938,-16.7087955475,145.9120330811,-0.0736403465,0.0376679897,0.0073374510,-49.3541374207,83.1438446045,-92.8214874268,0.0153099298,0.0265590250,0.0289407372,29.6951808929,53.6908569336,-89.4707183838,0.0680408478,0.0005078912,0.0035166740,
2763.043,-3.2060060501,1.3009395599,-73.0657424927,0.0568834171,0.0407750607,0.0154958367,-85.2018814087,-16.6847705841,145.8908691406,-0.0693325102,0.0309465528,0.0048196912,-49.3282508850,83.1495437622,-92.7776107788,0.0138569474,0.0230352879,0.0221223682,29.6775970459,53.6955604553,-89.4820480347,0.0724839568,0.0002104640,0.0054382682,
2763.053,-3.2076811790,1.3001662493,-73.0664138794,0.0602878928,0.0388511345,0.0062197447,-85.1941146851,-16.6536121368,145.8677520752,-0.0732060671,0.0266963840,0.0037008524,-49.2649574280,83.1549530029,-92.6970672607,0.0207041502,0.0297114551,0.0323380530,29.6696128845,53.6974487305,-89.4833450317,0.0729917884,0.0071312189,0.0083496571,
2763.063,-3.2090516090,1.3011445999,-73.0652618408,0.0568869933,0.0418046787,0.0130576491,-85.1807174683,-16.6237525940,145.8447875977,-0.0692887306,0.0287795067,0.0020000339,-49.2015724182,83.1578750610,-92.6143951416,0.0197336674,0.0256789923,0.0283640772,29.6649093628,53.7004203796,-89.4795989990,0.0647217035,0.0008465946,-0.0014027953,
2763.073,-3.2067148685,1.3024905920,-73.0647583008,0.0573987626,0.0442053452,0.0062193871,-85.1564788818,-16.5906143188,145.8192749023,-0.0706876218,0.0259800553,0.0118363500,-49.1590042114,83.1647033691,-92.5555496216,0.0173064470,0.0284634829,0.0171398222,29.6659832001,53.6980781555,-89.4718017578,0.0622560978,-0.0035740733,0.0122445822,
2763.083,-3.2042863369,1.3014067411,-73.0635223389,0.0617743805,0.0466044620,0.0071939230,-85.1314315796,-16.5577125549,145.7943115234,-0.0618364811,0.0358735323,0.0079863071,-49.1054496765,83.1671142578,-92.4841461182,0.0129169226,0.0293337107,0.0307547152,29.6796932220,53.6949844360,-89.4547576904,0.0656421185,0.0031172931,-0.0013940930,
2763.093,-3.2047924995,1.3020205498,-73.0636520386,0.0578788370,0.0363593623,0.0115883350,-85.1054077148,-16.5143985748,145.7717437744,-0.0703891516,0.0350738168,0.0031401515,-49.0616950989,83.1678085327,-92.4226226807,0.0153597593,0.0282887816,0.0316679925,29.6942291260,53.6907081604,-89.4360733032,0.0714572668,-0.0004609823,0.0122998953,
2763.103,-3.2052724361,1.3018807173,-73.0624542236,0.0583646819,0.0407622643,0.0042651892,-85.0812759399,-16.4659461975,145.7511291504,-0.0715313554,0.0347900391,0.0007639527,-49.0375556946,83.1688690186,-92.3803863525,0.0202447772,0.0184746385,0.0257838964,29.7088661194,53.6837120056,-89.4177169800,0.0777326226,-0.0006412864,0.0078945160,
2763.113,-3.2045955658,1.3008849621,-73.0624923706,0.0612769946,0.0427036136,0.0086585283,-85.0580978394,-16.4166526794,145.7270202637,-0.0731475949,0.0340225101,0.0047509074,-48.9630126953,83.1674880981,-92.2867660522,0.0217067599,0.0237616003,0.0393201113,29.7224102020,53.6780319214,-89.3988342285,0.0806035995,0.0065218508,0.0030122995,
