Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
379.253,-3.2662978172,1.3986105919,43.4280738831,0.0624938756,0.0457293652,0.0116891861,-104.0362625122,-8.8845386505,82.0326843262,-0.0436039567,-0.0543856621,0.0004443824,-56.6046066284,84.7793273926,-121.2633514404,0.0197774172,0.0243456960,0.0266670287,43.2128601074,41.0374031067,-113.6531448364,0.0725672245,-0.0082629323,-0.0039366484,
379.263,-3.2683563232,1.3985223770,43.4292144775,0.0605392121,0.0394175649,0.0107140541,-104.0311203003,-8.8839120865,82.0177917480,-0.0489642322,-0.0533856153,0.0067058504,-56.5994300842,84.7784271240,-121.2513046265,0.0192877054,0.0243530869,0.0310466588,43.2155723572,41.0343971252,-113.6458435059,0.0749690533,-0.0039180517,-0.0063788295,
379.273,-3.2688710690,1.3983103037,43.4285316467,0.0585823879,0.0384499803,0.0146214962,-104.0289688110,-8.8856868744,82.0021591187,-0.0499714017,-0.0553343892,-0.0055382848,-56.5848731995,84.7789535522,-121.2285690308,0.0231947899,0.0238450468,0.0290779471,43.2188720703,41.0349197388,-113.6386337280,0.0627689362,-0.0063869953,-0.0053681135,
379.283,-3.2686061859,1.3977094889,43.4291229248,0.0600367486,0.0433281921,0.0097374916,-104.0260925293,-8.8899135590,81.9859924316,-0.0476028621,-0.0621696115,0.0022236407,-56.5553550720,84.7797012329,-121.1896514893,0.0163600445,0.0252714455,0.0290459096,43.2189292908,41.0317153931,-113.6316223145,0.0798165798,-0.0112954974,-0.0063710213,
379.293,-3.2713885307,1.4002133608,43.4283523560,0.0556859002,0.0389820710,0.0214602947,-104.0257492065,-8.8931846619,81.9727172852,-0.0515655279,-0.0558288097,-0.0041322112,-56.5583343506,84.7811279297,-121.1844863892,0.0227099657,0.0272088647,0.0271085799,43.2210617065,41.0318870544,-113.6230163574,0.0676118135,-0.0083849430,-0.0058621168,
379.303,-3.2702610493,1.4005469084,43.4302062988,0.0547151603,0.0462866426,0.0048578978,-104.0255508423,-8.9036388397,81.9593963623,-0.0414918959,-0.0558553934,-0.0070720017,-56.5664710999,84.7787246704,-121.1825790405,0.0163584948,0.0184590816,0.0290520191,43.2190170288,41.0303153992,-113.6187133789,0.0651496649,-0.0122839212,-0.0014989376,
379.313,-3.2706899643,1.3992377520,43.4314689636,0.0605516881,0.0472707041,0.0112050176,-104.0251159668,-8.9144458771,81.9471511841,-0.0460727513,-0.0568584204,-0.0080630779,-56.5750503540,84.7803039551,-121.1829986572,0.0246617794,0.0267470181,0.0251706541,43.2223129272,41.0299034119,-113.6114959717,0.0641677380,-0.0074359179,-0.0063555837,
379.323,-3.2689564228,1.4008778334,43.4320526123,0.0522795245,0.0462638997,0.0136461258,-104.0166549683,-8.9245786667,81.9338378906,-0.0442943573,-0.0597795844,0.0093671083,-56.5778579712,84.7806396484,-121.1788482666,0.0202677846,0.0223490894,0.0285966396,43.2210807800,41.0294647217,-113.6052856445,0.0656268001,-0.0176814198,-0.0083235502,
379.333,-3.2699508667,1.4003621340,43.4338569641,0.0600830317,0.0409101471,0.0126694441,-104.0105819702,-8.9361486435,81.9204635620,-0.0420524478,-0.0549017787,0.0014453530,-56.5778884888,84.7799301147,-121.1688995361,0.0236846209,0.0262676775,0.0280998945,43.2199859619,41.0277252197,-113.5998306274,0.0739046335,-0.0157314539,-0.0024886131,
379.343,-3.2694461346,1.4018080235,43.4355354309,0.0596199781,0.0418778807,0.0121821165,-104.0029220581,-8.9450969696,81.9085388184,-0.0480660796,-0.0539168119,0.0061940551,-56.5970382690,84.7798538208,-121.1792984009,0.0202665329,0.0233523846,0.0271519721,43.2228126526,41.0286483765,-113.5900039673,0.0626863241,-0.0098920465,-0.0107561350,
379.353,-3.2684714794,1.3995698690,43.4367446899,0.0659285784,0.0457672030,0.0102264881,-104.0011978149,-8.9555187225,81.8983764648,-0.0448278189,-0.0417299271,-0.0006776750,-56.5839080811,84.7789154053,-121.1561126709,0.0236830115,0.0214044750,0.0280986428,43.2196617126,41.0280952454,-113.5853805542,0.0617024899,-0.0152372122,-0.0000469685,
379.363,-3.2708084583,1.3976604939,43.4379386902,0.0644304156,0.0428782739,0.0014390945,-104.0021667480,-8.9659404755,81.8897628784,-0.0445191860,-0.0515273809,0.0061679184,-56.5993156433,84.7792892456,-121.1620864868,0.0212422013,0.0228764117,0.0256830454,43.2212295532,41.0309638977,-113.5778579712,0.0612519383,-0.0157181025,-0.0107511282,
379.373,-3.2715654373,1.4007232189,43.4402084351,0.0561830774,0.0438679494,0.0112066269,-104.0050811768,-8.9771795273,81.8825531006,-0.0452012420,-0.0486391783,0.0096268058,-56.6100578308,84.7813186646,-121.1651687622,0.0212454200,0.0233464539,0.0237628222,43.2235717773,41.0307350159,-113.5697937012,0.0729677081,-0.0035352707,-0.0043841004,
379.383,-3.2708525658,1.3995376825,43.4420585632,0.0600686446,0.0448321216,0.0063226223,-104.0102767944,-8.9890260696,81.8770828247,-0.0434523225,-0.0516220331,-0.0010358393,-56.6169166565,84.7808303833,-121.1655960083,0.0153852701,0.0189637542,0.0271865726,43.2215232849,41.0324478149,-113.5642471313,0.0695723295,-0.0113146901,0.0009827614,
379.393,-3.2731881142,1.3990248442,43.4437675476,0.0644542277,0.0404782854,0.0146257877,-104.0088806152,-9.0003929138,81.8724822998,-0.0416951478,-0.0550640821,0.0028390884,-56.6264038086,84.7818756104,-121.1699371338,0.0124572515,0.0243282020,0.0257447660,43.2231979370,41.0353431702,-113.5581054688,0.0578916669,-0.0137494802,-0.0072789192,
379.403,-3.2716164589,1.3970772028,43.4467430115,0.0693030581,0.0477751829,0.0038812160,-104.0042877197,-9.0083379745,81.8651504517,-0.0457383692,-0.0501836538,-0.0065196455,-56.6268005371,84.7836761475,-121.1628875732,0.0144132376,0.0282108486,0.0296669304,43.2262687683,41.0380134583,-113.5505752563,0.0618330836,-0.0093634129,-0.0135763288,
379.413,-3.2730579376,1.3978341818,43.4460029602,0.0615037642,0.0438940115,0.0107188225,-103.9986724854,-9.0125579834,81.8585662842,-0.0492290854,-0.0511474609,0.0046134293,-56.6273269653,84.7845077515,-121.1552429199,0.0178325176,0.0262455344,0.0267466605,43.2273559570,41.0360641479,-113.5427856445,0.0705965161,-0.0118305087,0.0015538335,
379.423,-3.2724175453,1.3984225988,43.4446334839,0.0639554411,0.0448594093,0.0063238144,-103.9953079224,-9.0111541748,81.8505630493,-0.0531111360,-0.0467354655,-0.0037424564,-56.6224403381,84.7824020386,-121.1416244507,0.0183174610,0.0252942741,0.0296500921,43.2289161682,41.0333900452,-113.5356369019,0.0744675398,-0.0113782287,-0.0038254261,
379.433,-3.2732949257,1.4006388187,43.4463195801,0.0566698909,0.0414566733,0.0043724775,-103.9927368164,-9.0076427460,81.8415985107,-0.0462146699,-0.0398795009,0.0103771985,-56.6187705994,84.7809448242,-121.1279754639,0.0183151364,0.0228703022,0.0306079388,43.2299690247,41.0362129211,-113.5268630981,0.0618093610,-0.0094130635,-0.0111165047,
