epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9907,1.00942,2.6912,1.0085,0.84754,0.13774,0.14186,0.10663,0.93826,1.49575,0.95694,0.000297684,0.000297684,0.000297684
2,47.4228,0.90957,1.01248,0.92916,0.99254,0.13528,0.14502,0.11609,0.81697,0.83772,0.90992,0.000541216,0.000541216,0.000541216
3,58.618,0.83188,0.79105,0.91085,0.92075,0.14675,0.21863,0.17169,0.79469,0.66697,0.90073,0.000724755,0.000724755,0.000724755
4,69.6506,0.81448,0.6624,0.89718,0.80895,0.36122,0.28663,0.22622,0.80735,0.60428,0.90894,0.000639027,0.000639027,0.000639027
5,80.7432,0.78236,0.58652,0.89406,0.53872,0.53227,0.28928,0.23245,0.75912,0.54125,0.89461,0.000549036,0.000549036,0.000549036
6,90.9261,0.76942,0.54653,0.89095,0.5239,0.51216,0.29652,0.23914,0.72383,0.48026,0.88652,0.000459045,0.000459045,0.000459045
7,100.202,0.75948,0.52264,0.88831,0.52597,0.47667,0.29983,0.24375,0.73508,0.46358,0.88705,0.000369054,0.000369054,0.000369054
8,109.395,0.75872,0.51095,0.89077,0.38615,0.5036,0.31356,0.25384,0.73102,0.46467,0.88816,0.000279063,0.000279063,0.000279063
9,118.664,0.74119,0.49206,0.88564,0.42318,0.50933,0.32988,0.27071,0.72381,0.43885,0.88454,0.000189072,0.000189072,0.000189072
10,128.039,0.73667,0.48895,0.88469,0.58439,0.47161,0.33655,0.27686,0.70949,0.43035,0.88089,9.9081e-05,9.9081e-05,9.9081e-05
