epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3436,1.0074,2.70269,1.00869,0.97342,0.3125,0.32099,0.24673,0.91297,1.42676,0.94976,0.000297684,0.000297684,0.000297684
2,33.7109,0.9143,0.98737,0.93054,0.97924,0.31838,0.32683,0.25721,0.82123,0.79261,0.91102,0.000541216,0.000541216,0.000541216
3,43.0909,0.83472,0.78563,0.91379,0.98547,0.32093,0.32888,0.26161,0.80203,0.63523,0.90385,0.000724755,0.000724755,0.000724755
4,52.5988,0.81576,0.68565,0.89831,0.98755,0.32137,0.33069,0.26443,0.81226,0.5982,0.91409,0.000639027,0.000639027,0.000639027
5,61.8131,0.78431,0.61243,0.89515,0.98843,0.32365,0.33215,0.27078,0.75561,0.52925,0.88701,0.000549036,0.000549036,0.000549036
6,71.1713,0.7718,0.57405,0.89212,0.98808,0.32496,0.33279,0.27358,0.73119,0.47629,0.8852,0.000459045,0.000459045,0.000459045
7,81.6821,0.7602,0.55784,0.88821,0.98824,0.32703,0.33353,0.27399,0.73238,0.45441,0.88492,0.000369054,0.000369054,0.000369054
8,90.9652,0.75821,0.55044,0.88977,0.98917,0.32586,0.33347,0.27315,0.73565,0.46211,0.88719,0.000279063,0.000279063,0.000279063
9,99.9834,0.74242,0.53137,0.88507,0.98879,0.32725,0.33312,0.27517,0.72454,0.43405,0.88428,0.000189072,0.000189072,0.000189072
10,109.024,0.73765,0.53449,0.88369,0.98893,0.32773,0.33314,0.27652,0.70982,0.42546,0.8808,9.9081e-05,9.9081e-05,9.9081e-05
