epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8344,1.01483,2.69461,1.01019,0.98021,0.18755,0.18927,0.1456,0.9235,1.43495,0.96866,0.000297684,0.000297684,0.000297684
2,34.0882,0.91076,0.95076,0.93287,0.98611,0.19148,0.19365,0.15533,0.79982,0.79333,0.90502,0.000541216,0.000541216,0.000541216
3,43.2319,0.83158,0.74578,0.91456,0.98874,0.19342,0.19675,0.15916,0.77731,0.68831,0.89673,0.000724755,0.000724755,0.000724755
4,52.2932,0.82607,0.65703,0.90311,0.98959,0.19307,0.19961,0.15613,0.87232,0.72809,0.92548,0.000639027,0.000639027,0.000639027
5,61.4112,0.80556,0.60426,0.90147,0.98959,0.19539,0.20036,0.16263,0.7443,0.59486,0.8838,0.000549036,0.000549036,0.000549036
6,70.4505,0.77329,0.56473,0.8949,0.99058,0.19553,0.19923,0.16418,0.72147,0.5528,0.8787,0.000459045,0.000459045,0.000459045
7,79.5663,0.76556,0.54287,0.88692,0.98922,0.19548,0.19971,0.16216,0.76231,0.55409,0.89429,0.000369054,0.000369054,0.000369054
8,88.6803,0.75371,0.52831,0.88979,0.99106,0.19629,0.20032,0.16498,0.71451,0.5154,0.87733,0.000279063,0.000279063,0.000279063
9,99.2353,0.74596,0.5201,0.88721,0.99055,0.1962,0.19947,0.16552,0.71084,0.51325,0.87786,0.000189072,0.000189072,0.000189072
10,110.981,0.73957,0.50661,0.88376,0.99088,0.19688,0.19935,0.16638,0.69563,0.48543,0.87351,9.9081e-05,9.9081e-05,9.9081e-05
